Date,vix,vxo,vxn,vxd
02JAN1992,18.95,19.06,,
03JAN1992,18.75,19.15,,
06JAN1992,18.96,18.73,,
07JAN1992,19.23,18.63,,
08JAN1992,18.72,18.45,,
09JAN1992,18.96,18.85,,
10JAN1992,18.45,18.62,,
13JAN1992,18.01,16.68,,
14JAN1992,17.01,16.26,,
15JAN1992,17.39,16.97,,
16JAN1992,17.64,16.96,,
17JAN1992,16.32,16.40,,
20JAN1992,16.42,16.24,,
21JAN1992,17.92,16.82,,
22JAN1992,16.75,15.65,,
23JAN1992,16.46,16.89,,
24JAN1992,16.24,16.02,,
27JAN1992,16.67,16.96,,
28JAN1992,17.67,17.84,,
29JAN1992,17.62,18.11,,
30JAN1992,17.49,17.79,,
31JAN1992,17.40,17.91,,
03FEB1992,18.20,17.87,,
04FEB1992,17.96,17.69,,
05FEB1992,18.22,17.97,,
06FEB1992,18.79,18.23,,
07FEB1992,18.51,18.12,,
10FEB1992,18.56,17.65,,
11FEB1992,17.70,17.01,,
12FEB1992,17.37,16.83,,
13FEB1992,17.45,16.82,,
14FEB1992,17.03,16.74,,
18FEB1992,18.22,18.12,,
19FEB1992,17.16,16.82,,
20FEB1992,16.72,17.19,,
21FEB1992,16.87,15.86,,
24FEB1992,17.13,16.38,,
25FEB1992,16.35,16.37,,
26FEB1992,16.64,16.08,,
27FEB1992,16.51,16.23,,
28FEB1992,16.68,15.98,,
02MAR1992,16.88,15.88,,
03MAR1992,17.26,16.73,,
04MAR1992,17.89,17.33,,
05MAR1992,18.47,17.41,,
06MAR1992,19.75,18.17,,
09MAR1992,19.68,17.59,,
10MAR1992,18.68,16.36,,
11MAR1992,19.79,17.60,,
12MAR1992,19.72,17.90,,
13MAR1992,18.35,16.57,,
16MAR1992,18.46,16.26,,
17MAR1992,16.79,15.35,,
18MAR1992,16.69,15.61,,
19MAR1992,16.52,14.83,,
20MAR1992,16.82,15.46,,
23MAR1992,16.73,15.25,,
24MAR1992,16.32,14.96,,
25MAR1992,16.19,14.66,,
26MAR1992,16.29,15.31,,
27MAR1992,16.02,15.93,,
30MAR1992,15.97,15.83,,
31MAR1992,16.18,15.91,,
01APR1992,16.48,16.06,,
02APR1992,17.06,17.30,,
03APR1992,16.72,16.42,,
06APR1992,16.72,15.33,,
07APR1992,18.81,18.05,,
08APR1992,20.15,18.29,,
09APR1992,17.89,17.43,,
10APR1992,16.85,16.29,,
13APR1992,16.99,16.04,,
14APR1992,15.98,16.13,,
15APR1992,15.15,16.02,,
16APR1992,14.85,15.24,,
